Country,Site,latitude_longitude,ServiceLine,Baseline,DeliveryType
Australia,State Sales Offices,"-37.814107,144.96328",M&E Equipment,23354.00,Subcontract
Singapore,Jurong,"1.364434,103.775263",M&E Equipment,23331.00,Subcontract
Thailand,Lad Krabang,"13.722049,100.784157",Cleaning,23247.48,
New Zealand,Auckland DC,"-36.84846,174.763332",Cleaning,23174.00,Subcontract
Australia,Scoresby,"-37.898567,145.230362",M&E Equipment,23114.00,Subcontract
Singapore,Jurong,"1.364434,103.775263",M&E Equipment,23056.24,Subcontract
Australia,Ringwood,"-37.814262,145.227386",Building Fabric,22970.90,Self Delivery
New Zealand,Dunedin,"-45.87876,170.502798",Building Fabric,22835.39,Self Delivery
India,Mumbai EC,"19.030029,72.861308",M&E Equipment,22806.00,Subcontract
Australia,Claremont,"-31.981633,115.781288",M&E Equipment,22794.00,Subcontract
India,Mumbai EC,"19.030029,72.861308",M&E Equipment,22742.00,Subcontract
Australia,Dandenong VDC,"-37.98746,145.214861",M&E Equipment,22657.00,Subcontract
New Zealand,Dunedin,"-45.87876,170.502798",M&E Equipment,22600.00,Subcontract
New Zealand,Auckland DC,"-36.84846,174.763332",M&E Equipment,22385.00,Subcontract
India,Mumbai EC,"19.030029,72.861308",M&E Equipment,22214.00,Subcontract
India,Baddi,"30.957826,76.791356",M&E Equipment,22131.00,Subcontract
Australia,South Wharf,"-37.824997,144.951999",M&E Equipment,22100.00,Subcontract
Thailand,Lad Krabang,"13.722049,100.784157",M&E Equipment,22005.33,Subcontract
Australia,Port Melbourne,"-37.836926,144.94455",Building Fabric,21932.82,Self Delivery
Singapore,Keppel Bay Towers,"1.352083,103.819836",Reprographics & Stationery,21717.95,Subcontract
Thailand,Lad Krabang,"13.722049,100.784157",Catering,21506.26,Subcontract
Australia,Scoresby,"-37.898567,145.230362",M&E Equipment,21274.00,Subcontract
Australia,South Wharf,"-37.824997,144.951999",M&E Equipment,20978.00,Subcontract
India,Mumbai EC,"19.030029,72.861308",M&E Equipment,20734.00,Subcontract
New Zealand,Avondale,"-36.894517,174.696524",M&E Equipment,20642.00,Subcontract
New Zealand,Dunedin,"-45.87876,170.502798",Security,20619.30,Subcontract
Singapore,Keppel Bay Towers,"1.352083,103.819836",M&E Equipment,20533.00,Subcontract
Australia,Port Melbourne,"-37.836926,144.94455",Building Fabric,20525.67,Self Delivery
Australia,South Wharf,"-37.824997,144.951999",M&E Equipment,20409.00,Subcontract
India,Baddi,"30.957826,76.791356",M&E Equipment,20252.00,Subcontract
Australia,Scoresby,"-37.898567,145.230362",Building Fabric,19980.86,Self Delivery
Australia,Claremont,"-31.981633,115.781288",M&E Equipment,19963.25,Subcontract
Australia,South Wharf,"-37.824997,144.951999",M&E Equipment,19862.00,Subcontract
New Zealand,Dunedin,"-45.87876,170.502798",Security,19679.06,Subcontract
Singapore,Jurong,"1.364434,103.775263",Building Fabric,49346.59,Self Delivery
Australia,South Wharf,"-37.824997,144.951999",M&E Equipment,19158.00,Subcontract
Australia,Claremont,"-31.981633,115.781288",M&E Equipment,19084.00,Subcontract
Australia,Port Melbourne,"-37.836926,144.94455",Security,18828.35,Subcontract
Australia,Dandenong VDC,"-37.98746,145.214861",M&E Equipment,18702.14,Subcontract
New Zealand,Auckland DC,"-36.84846,174.763332",M&E Equipment,18685.00,Subcontract
Singapore,Jurong,"1.364434,103.775263",M&E Equipment,17977.00,Subcontract
New Zealand,Dunedin,"-45.87876,170.502798",M&E Equipment,17894.23,Subcontract
Singapore,Jurong,"1.364434,103.775263",Building Fabric,17677.77,Self Delivery
Australia,Port Melbourne,"-37.836926,144.94455",M&E Equipment,17473.14,Subcontract
Singapore,Keppel Bay Towers,"1.352083,103.819836",M&E Equipment,17421.00,Subcontract
Australia,Scoresby,"-37.898567,145.230362",Grounds Maintenance,17262.63,Self Delivery
Australia,Scoresby,"-37.898567,145.230362",Building Fabric,17228.18,Self Delivery
Australia,Port Melbourne,"-37.836926,144.94455",M&E Equipment,17149.77,Subcontract
India,Mumbai EC,"19.030029,72.861308",M&E Equipment,17107.00,Subcontract
New Zealand,Avondale,"-36.894517,174.696524",M&E Equipment,17057.00,Subcontract
New Zealand,Avondale,"-36.894517,174.696524",M&E Equipment,17001.00,Subcontract
Australia,Scoresby,"-37.898567,145.230362",Building Fabric,16983.15,Self Delivery
Australia,Claremont,"-31.981633,115.781288",Cleaning,16684.00,Subcontract
India,Mumbai EC,"19.030029,72.861308",M&E Equipment,16608.00,Subcontract
Thailand,Lad Krabang,"13.722049,100.784157",M&E Equipment,16606.13,Subcontract
India,Baddi,"30.957826,76.791356",Cleaning,16543.00,Subcontract
New Zealand,Auckland DC,"-36.84846,174.763332",M&E Equipment,16324.00,Subcontract
Thailand,Lad Krabang,"13.722049,100.784157",M&E Equipment,16209.62,Subcontract
Thailand,Lad Krabang,"13.722049,100.784157","E, H, S & Q, compliance",16175.35,Self Delivery
Thailand,Lad Krabang,"13.722049,100.784157",Catering,16106.33,Subcontract
Australia,Scoresby,"-37.898567,145.230362",Building Fabric,16006.87,Self Delivery
Australia,Ringwood,"-37.814262,145.227386",M&E Equipment,15995.41,Subcontract
Singapore,Jurong,"1.364434,103.775263",Projects,15528.36,Self Delivery
Australia,Dandenong VDC,"-37.98746,145.214861",Cleaning,15421.00,Subcontract
Australia,South Wharf,"-37.824997,144.951999",M&E Equipment,15345.00,Subcontract
Australia,Scoresby,"-37.898567,145.230362",M&E Equipment,15102.00,Subcontract
Australia,Dandenong VDC,"-37.98746,145.214861",M&E Equipment,15069.00,Subcontract
New Zealand,Dunedin,"-45.87876,170.502798",M&E Equipment,14951.00,Subcontract
Australia,South Wharf,"-37.824997,144.951999",Building Fabric,14950.00,Self Delivery
Australia,South Wharf,"-37.824997,144.951999",Building Fabric,14855.00,Self Delivery
India,Baddi,"30.957826,76.791356",M&E Equipment,14830.00,Subcontract
Thailand,Lad Krabang,"13.722049,100.784157",M&E Equipment,14784.11,Subcontract
Singapore,Keppel Bay Towers,"1.352083,103.819836",M&E Equipment,14716.00,Subcontract
India,Mumbai EC,"19.030029,72.861308",Building Fabric,14658.00,Self Delivery
Thailand,Lad Krabang,"13.722049,100.784157",Business Continuity & DR,14639.00,Self Delivery
Australia,State Sales Offices,"-37.814107,144.96328",M&E Equipment,14604.00,Subcontract
Singapore,Jurong,"1.364434,103.775263",Building Fabric,14482.72,Self Delivery
Singapore,Keppel Bay Towers,"1.352083,103.819836","Meetings, Communications, Events",14417.07,Self Delivery
Australia,Port Melbourne,"-37.836926,144.94455",Fire and Security Equipment,14349.73,Subcontract
Thailand,Lad Krabang,"13.722049,100.784157",Building Fabric,14332.00,Self Delivery
New Zealand,Auckland DC,"-36.84846,174.763332",Building Fabric,14302.74,Self Delivery
New Zealand,Auckland DC,"-36.84846,174.763332",M&E Equipment,14229.00,Subcontract
Singapore,Jurong,"1.364434,103.775263",Fire and Security Equipment,13986.99,Subcontract
India,Baddi,"30.957826,76.791356",Building Fabric,13937.00,Self Delivery
New Zealand,Auckland DC,"-36.84846,174.763332",M&E Equipment,13860.00,Subcontract
New Zealand,Avondale,"-36.894517,174.696524",Fire and Security Equipment,13686.00,Subcontract
New Zealand,Auckland DC,"-36.84846,174.763332",Fire and Security Equipment,13674.00,Subcontract
New Zealand,Auckland DC,"-36.84846,174.763332",Building Fabric,13529.00,Self Delivery
Australia,South Wharf,"-37.824997,144.951999",Building Fabric,13517.00,Self Delivery
New Zealand,Auckland DC,"-36.84846,174.763332",Business Continuity & DR,13425.00,Self Delivery
Australia,State Sales Offices,"-37.814107,144.96328",Building Fabric,13340.00,Self Delivery
Australia,Port Melbourne,"-37.836926,144.94455",Grounds Maintenance,13325.52,Self Delivery
Australia,Dandenong VDC,"-37.98746,145.214861",Building Fabric,13246.00,Self Delivery
New Zealand,Auckland DC,"-36.84846,174.763332",Building Fabric,13244.00,Self Delivery
Australia,Scoresby,"-37.898567,145.230362",Fleet Management,13180.00,Subcontract
Australia,State Sales Offices,"-37.814107,144.96328",Fire and Security Equipment,13147.00,Subcontract
Singapore,Keppel Bay Towers,"1.352083,103.819836",M&E Equipment,13143.72,Subcontract
Australia,State Sales Offices,"-37.814107,144.96328",Building Fabric,13053.00,Self Delivery
Australia,Dandenong VDC,"-37.98746,145.214861",Building Fabric,12948.00,Self Delivery
New Zealand,Avondale,"-36.894517,174.696524",Building Fabric,12816.00,Self Delivery
Australia,Ringwood,"-37.814262,145.227386",M&E Equipment,12767.76,Subcontract
Australia,South Wharf,"-37.824997,144.951999",Building Fabric,12717.00,Self Delivery
New Zealand,Avondale,"-36.894517,174.696524",Cleaning,12649.00,Subcontract
India,Baddi,"30.957826,76.791356",Building Fabric,12508.00,Self Delivery
Singapore,Keppel Bay Towers,"1.352083,103.819836",Business Continuity & DR,12481.00,Self Delivery
India,Baddi,"30.957826,76.791356",M&E Equipment,12427.63,Subcontract
Australia,South Wharf,"-37.824997,144.951999",Fleet Management,12293.00,Subcontract
Singapore,Keppel Bay Towers,"1.352083,103.819836",Fire and Security Equipment,12208.00,Subcontract
India,Baddi,"30.957826,76.791356",Fire and Security Equipment,12180.00,Subcontract
India,Baddi,"30.957826,76.791356",M&E Equipment,89297.80,Subcontract
New Zealand,Avondale,"-36.894517,174.696524",Fleet Management,12109.00,Subcontract
New Zealand,Auckland DC,"-36.84846,174.763332",Building Fabric,12076.00,Self Delivery
Australia,Dandenong VDC,"-37.98746,145.214861",Building Fabric,11979.33,Self Delivery
New Zealand,Auckland DC,"-36.84846,174.763332",Fleet Management,11972.00,Subcontract
Australia,South Wharf,"-37.824997,144.951999",Security,11928.10,Subcontract
New Zealand,Auckland DC,"-36.84846,174.763332",Building Fabric,11894.00,Self Delivery
New Zealand,Avondale,"-36.894517,174.696524",Cleaning,11825.00,Subcontract
Australia,State Sales Offices,"-37.814107,144.96328",Business Continuity & DR,11824.00,Self Delivery
Thailand,Lad Krabang,"13.722049,100.784157",Building Fabric,11625.00,Self Delivery
Singapore,Jurong,"1.364434,103.775263",Cleaning,11611.78,Subcontract
Singapore,Jurong,"1.364434,103.775263",M&E Equipment,11599.00,Subcontract
Singapore,Keppel Bay Towers,"1.352083,103.819836",Building Fabric,11589.00,Self Delivery
Singapore,Jurong,"1.364434,103.775263",Business Continuity & DR,11582.00,Self Delivery
Australia,State Sales Offices,"-37.814107,144.96328",Building Fabric,11553.67,Self Delivery
New Zealand,Avondale,"-36.894517,174.696524",Building Fabric,11530.00,Self Delivery
India,Mumbai EC,"19.030029,72.861308",Fire and Security Equipment,11522.00,Subcontract
Singapore,Jurong,"1.364434,103.775263","E, H, S & Q, compliance",11505.97,Self Delivery
India,Mumbai EC,"19.030029,72.861308",Building Fabric,12572.34,Self Delivery
Australia,Ringwood,"-37.814262,145.227386",M&E Equipment,11485.45,Subcontract
Australia,Scoresby,"-37.898567,145.230362",M&E Equipment,11485.45,Subcontract
Australia,South Wharf,"-37.824997,144.951999",Grounds Maintenance,11485.45,Self Delivery
Singapore,Keppel Bay Towers,"1.352083,103.819836",Building Fabric,11475.00,Self Delivery
India,Mumbai EC,"19.030029,72.861308",Fire and Security Equipment,11460.00,Subcontract
Australia,South Wharf,"-37.824997,144.951999",Cleaning,11416.00,Subcontract
Singapore,Jurong,"1.364434,103.775263",Fire and Security Equipment,11305.00,Subcontract
Australia,Port Melbourne,"-37.836926,144.94455",Business Continuity & DR,11205.00,Self Delivery
India,Mumbai EC,"19.030029,72.861308",Building Fabric,11093.00,Self Delivery
New Zealand,Dunedin,"-45.87876,170.502798",Cleaning,11091.15,Subcontract
New Zealand,Avondale,"-36.894517,174.696524",M&E Equipment,11083.00,Subcontract
New Zealand,Avondale,"-36.894517,174.696524",Fire and Security Equipment,10970.00,Subcontract
Australia,Claremont,"-31.981633,115.781288",Grounds Maintenance,10911.18,Self Delivery
Australia,Port Melbourne,"-37.836926,144.94455",Building Fabric,10906.00,Self Delivery
Australia,Dandenong VDC,"-37.98746,145.214861",M&E Equipment,10845.00,Subcontract
Australia,Ringwood,"-37.814262,145.227386",Business Continuity & DR,10797.00,Self Delivery
Thailand,Lad Krabang,"13.722049,100.784157",Cleaning,10758.57,Subcontract
Australia,Claremont,"-31.981633,115.781288",Cleaning,10733.00,Subcontract
Singapore,Keppel Bay Towers,"1.352083,103.819836",Catering,10709.67,Subcontract
New Zealand,Auckland DC,"-36.84846,174.763332",M&E Equipment,10687.00,Subcontract
Australia,Claremont,"-31.981633,115.781288",Cleaning,10612.00,Subcontract
Australia,Dandenong VDC,"-37.98746,145.214861",Fleet Management,10570.00,Subcontract
Australia,Dandenong VDC,"-37.98746,145.214861",M&E Equipment,10528.33,Subcontract
Singapore,Jurong,"1.364434,103.775263",Cleaning,10495.00,Subcontract
Singapore,Keppel Bay Towers,"1.352083,103.819836",Cleaning,10495.00,Subcontract
Thailand,Lad Krabang,"13.722049,100.784157",Fleet Management,10430.00,Subcontract
Singapore,Jurong,"1.364434,103.775263",Grounds Maintenance,10282.37,Self Delivery
India,Mumbai EC,"19.030029,72.861308",Fleet Management,10272.00,Subcontract
Australia,Port Melbourne,"-37.836926,144.94455",M&E Equipment,10234.72,Subcontract
Australia,South Wharf,"-37.824997,144.951999",Fire and Security Equipment,10218.22,Subcontract
New Zealand,Avondale,"-36.894517,174.696524",Building Fabric,10214.00,Self Delivery
Singapore,Keppel Bay Towers,"1.352083,103.819836",Fleet Management,10023.00,Subcontract
Singapore,Keppel Bay Towers,"1.352083,103.819836",Building Fabric,10001.00,Self Delivery
Singapore,Keppel Bay Towers,"1.352083,103.819836",Reprographics & Stationery,9916.16,Subcontract
Australia,Ringwood,"-37.814262,145.227386",M&E Equipment,9902.00,Subcontract
Australia,Ringwood,"-37.814262,145.227386","E, H, S & Q, compliance",9845.67,Self Delivery
Australia,Ringwood,"-37.814262,145.227386",Fleet Management,9813.00,Subcontract
Singapore,Jurong,"1.364434,103.775263",Fleet Management,9644.00,Subcontract
New Zealand,Avondale,"-36.894517,174.696524",Grounds Maintenance,9535.16,Self Delivery
New Zealand,Auckland DC,"-36.84846,174.763332",M&E Equipment,9427.00,Subcontract
Australia,Scoresby,"-37.898567,145.230362",M&E Equipment,9414.00,Subcontract
Australia,Scoresby,"-37.898567,145.230362",Fire and Security Equipment,9372.00,Subcontract
Singapore,Jurong,"1.364434,103.775263",M&E Equipment,9319.00,Subcontract
New Zealand,Dunedin,"-45.87876,170.502798",M&E Equipment,9286.64,Subcontract
Australia,Dandenong VDC,"-37.98746,145.214861",Building Fabric,9256.00,Self Delivery
Singapore,Keppel Bay Towers,"1.352083,103.819836",M&E Equipment,9251.00,Subcontract
New Zealand,Auckland DC,"-36.84846,174.763332",M&E Equipment,9128.00,Subcontract
Australia,Claremont,"-31.981633,115.781288",Grounds Maintenance,9118.30,Self Delivery
Australia,Port Melbourne,"-37.836926,144.94455",Fleet Management,9043.00,Subcontract
Australia,Dandenong VDC,"-37.98746,145.214861",Building Fabric,8973.97,Self Delivery
New Zealand,Auckland DC,"-36.84846,174.763332",Cleaning,8900.00,Subcontract
Australia,South Wharf,"-37.824997,144.951999",M&E Equipment,8577.00,Subcontract
Singapore,Keppel Bay Towers,"1.352083,103.819836",Building Fabric,8541.00,Self Delivery
India,Baddi,"30.957826,76.791356",Cleaning,8507.91,Subcontract
Australia,Claremont,"-31.981633,115.781288",M&E Equipment,8434.00,Subcontract
Australia,Claremont,"-31.981633,115.781288",Business Continuity & DR,8375.00,Self Delivery
Australia,Scoresby,"-37.898567,145.230362",M&E Equipment,8281.01,Subcontract
India,Mumbai EC,"19.030029,72.861308",Business Continuity & DR,8244.00,Self Delivery
New Zealand,Avondale,"-36.894517,174.696524",Building Fabric,8170.00,Self Delivery
Thailand,Lad Krabang,"13.722049,100.784157",M&E Equipment,8084.21,Subcontract
India,Baddi,"30.957826,76.791356",FM management & administration,8061.59,Self Delivery
Australia,Claremont,"-31.981633,115.781288",Fire and Security Equipment,8017.00,Subcontract
New Zealand,Dunedin,"-45.87876,170.502798",Fleet Management,7993.00,Subcontract
Australia,Ringwood,"-37.814262,145.227386",Catering,7947.93,Subcontract
India,Baddi,"30.957826,76.791356",Fleet Management,7832.00,Subcontract
Australia,Ringwood,"-37.814262,145.227386",Fire and Security Equipment,7695.25,Subcontract
New Zealand,Auckland DC,"-36.84846,174.763332",M&E Equipment,7692.00,Subcontract
New Zealand,Auckland DC,"-36.84846,174.763332",Cleaning,7688.00,Subcontract
Australia,Ringwood,"-37.814262,145.227386",Mail Room & Reception,84621.27,Self Delivery
New Zealand,Dunedin,"-45.87876,170.502798",Catering,7609.15,Subcontract
India,Baddi,"30.957826,76.791356",Building Fabric,7594.88,Self Delivery
New Zealand,Avondale,"-36.894517,174.696524",M&E Equipment,7473.00,Subcontract
New Zealand,Avondale,"-36.894517,174.696524",Building Fabric,7357.00,Self Delivery
New Zealand,Avondale,"-36.894517,174.696524",M&E Equipment,7354.00,Subcontract
Australia,South Wharf,"-37.824997,144.951999",Business Continuity & DR,7309.00,Self Delivery
India,Baddi,"30.957826,76.791356",Building Fabric,7294.00,Self Delivery
Singapore,Jurong,"1.364434,103.775263",Cleaning,7244.01,Subcontract
Australia,Port Melbourne,"-37.836926,144.94455",Fire and Security Equipment,7222.00,Subcontract
Australia,Scoresby,"-37.898567,145.230362",M&E Equipment,7203.00,Subcontract
Thailand,Lad Krabang,"13.722049,100.784157",Mail Room & Reception,6987.48,Self Delivery
Singapore,Jurong,"1.364434,103.775263",M&E Equipment,6960.37,Subcontract
Australia,State Sales Offices,"-37.814107,144.96328",Building Fabric,6918.00,Self Delivery
Australia,Ringwood,"-37.814262,145.227386","E, H, S & Q, compliance",6845.33,Self Delivery
Australia,Claremont,"-31.981633,115.781288",Building Fabric,141392.19,Self Delivery
New Zealand,Dunedin,"-45.87876,170.502798",Building Fabric,6650.51,Self Delivery
India,Mumbai EC,"19.030029,72.861308",Cleaning,6642.00,Subcontract
Australia,Port Melbourne,"-37.836926,144.94455",M&E Equipment,6573.00,Subcontract
India,Baddi,"30.957826,76.791356",Catering,6554.73,Subcontract
Australia,Claremont,"-31.981633,115.781288",Cleaning,6548.00,Subcontract
Australia,Scoresby,"-37.898567,145.230362",M&E Equipment,6529.00,Subcontract
Australia,Scoresby,"-37.898567,145.230362",Cleaning,6460.00,Subcontract
Singapore,Jurong,"1.364434,103.775263",M&E Equipment,6261.14,Subcontract
Thailand,Lad Krabang,"13.722049,100.784157",Grounds Maintenance,6238.23,Self Delivery
Australia,State Sales Offices,"-37.814107,144.96328",Fleet Management,6199.00,Subcontract
Australia,Claremont,"-31.981633,115.781288",Building Fabric,6198.00,Self Delivery
New Zealand,Avondale,"-36.894517,174.696524",Business Continuity & DR,6190.00,Self Delivery
Australia,Dandenong VDC,"-37.98746,145.214861",Business Continuity & DR,6056.00,Self Delivery
Australia,Scoresby,"-37.898567,145.230362",M&E Equipment,6038.00,Subcontract
India,Baddi,"30.957826,76.791356",M&E Equipment,6030.00,Subcontract
Australia,Claremont,"-31.981633,115.781288",Fleet Management,6020.00,Subcontract
Australia,South Wharf,"-37.824997,144.951999",Fire and Security Equipment,5980.76,Subcontract
India,Mumbai EC,"19.030029,72.861308",M&E Equipment,5830.00,Subcontract
New Zealand,Auckland DC,"-36.84846,174.763332",M&E Equipment,5745.00,Subcontract
Australia,Ringwood,"-37.814262,145.227386",Building Fabric,5742.73,Self Delivery
Australia,Port Melbourne,"-37.836926,144.94455",M&E Equipment,5734.82,Subcontract
Australia,South Wharf,"-37.824997,144.951999",M&E Equipment,5728.37,Subcontract
New Zealand,Auckland DC,"-36.84846,174.763332",Catering,5721.10,Subcontract
Australia,State Sales Offices,"-37.814107,144.96328","E, H, S & Q, compliance",5692.30,Self Delivery
New Zealand,Avondale,"-36.894517,174.696524",Security,5640.05,Subcontract
Singapore,Jurong,"1.364434,103.775263",Building Fabric,5615.76,Self Delivery
Singapore,Keppel Bay Towers,"1.352083,103.819836",M&E Equipment,5518.00,Subcontract
Australia,Dandenong VDC,"-37.98746,145.214861",Building Fabric,5283.31,Self Delivery
Australia,Claremont,"-31.981633,115.781288",Building Fabric,5218.00,Self Delivery
Australia,Dandenong VDC,"-37.98746,145.214861",Fire and Security Equipment,5212.48,Subcontract
Thailand,Lad Krabang,"13.722049,100.784157",M&E Equipment,5076.00,Subcontract
New Zealand,Avondale,"-36.894517,174.696524",Building Fabric,5066.00,Self Delivery
India,Mumbai EC,"19.030029,72.861308",Building Fabric,4801.00,Self Delivery
Australia,Claremont,"-31.981633,115.781288",Grounds Maintenance,4785.60,Self Delivery
Australia,Dandenong VDC,"-37.98746,145.214861",Building Fabric,4779.00,Self Delivery
New Zealand,Auckland DC,"-36.84846,174.763332","E, H, S & Q, compliance",4767.58,Self Delivery
Australia,State Sales Offices,"-37.814107,144.96328",M&E Equipment,4754.48,Subcontract
Australia,Dandenong VDC,"-37.98746,145.214861",Cleaning,4702.00,Subcontract
Australia,Scoresby,"-37.898567,145.230362",Building Fabric,4615.00,Self Delivery
Australia,State Sales Offices,"-37.814107,144.96328",Cleaning,4509.76,Subcontract
Singapore,Keppel Bay Towers,"1.352083,103.819836",Building Fabric,4505.00,Self Delivery
New Zealand,Dunedin,"-45.87876,170.502798",M&E Equipment,4425.76,Subcontract
Australia,State Sales Offices,"-37.814107,144.96328",Building Fabric,4414.83,Self Delivery
Australia,Dandenong VDC,"-37.98746,145.214861",Security,4326.19,Subcontract
Australia,Scoresby,"-37.898567,145.230362",Business Continuity & DR,4273.00,Self Delivery
New Zealand,Dunedin,"-45.87876,170.502798",Building Fabric,4240.00,Self Delivery
Singapore,Keppel Bay Towers,"1.352083,103.819836",Building Fabric,4210.00,Self Delivery
New Zealand,Auckland DC,"-36.84846,174.763332",Building Fabric,4124.00,Self Delivery
India,Mumbai EC,"19.030029,72.861308",Cleaning,4035.04,Subcontract
New Zealand,Dunedin,"-45.87876,170.502798",Fire and Security Equipment,3989.83,Subcontract
Singapore,Keppel Bay Towers,"1.352083,103.819836",Catering,3954.76,Subcontract
New Zealand,Avondale,"-36.894517,174.696524",Building Fabric,3909.00,Self Delivery
New Zealand,Dunedin,"-45.87876,170.502798",Security,3854.67,Subcontract
Australia,South Wharf,"-37.824997,144.951999",Cleaning,3847.63,Subcontract
Australia,Dandenong VDC,"-37.98746,145.214861",Fire and Security Equipment,3828.48,Subcontract
India,Baddi,"30.957826,76.791356",Cleaning,3825.54,Subcontract
Australia,Port Melbourne,"-37.836926,144.94455",Security,3647.72,Subcontract
Australia,Claremont,"-31.981633,115.781288",M&E Equipment,3552.83,Subcontract
Australia,Ringwood,"-37.814262,145.227386",Building Fabric,3547.00,Self Delivery
Australia,Claremont,"-31.981633,115.781288",M&E Equipment,3469.95,Subcontract
New Zealand,Dunedin,"-45.87876,170.502798",Cleaning,3460.57,Subcontract
New Zealand,Auckland DC,"-36.84846,174.763332",Fire and Security Equipment,3356.38,Subcontract
Thailand,Lad Krabang,"13.722049,100.784157",Projects,3345.29,Self Delivery
Thailand,Lad Krabang,"13.722049,100.784157",Building Fabric,3339.75,Self Delivery
India,Mumbai EC,"19.030029,72.861308",Building Fabric,3329.00,Self Delivery
Australia,South Wharf,"-37.824997,144.951999",Cleaning,3279.00,Subcontract
Australia,Scoresby,"-37.898567,145.230362",Catering,3254.21,Subcontract
Singapore,Jurong,"1.364434,103.775263",Building Fabric,3203.35,Self Delivery
New Zealand,Dunedin,"-45.87876,170.502798",Security,3147.16,Subcontract
New Zealand,Auckland DC,"-36.84846,174.763332",Grounds Maintenance,3146.60,Self Delivery
Singapore,Jurong,"1.364434,103.775263",M&E Equipment,3086.49,Subcontract
Thailand,Lad Krabang,"13.722049,100.784157",Catering,2972.86,Subcontract
India,Baddi,"30.957826,76.791356",Catering,2945.00,Subcontract
Australia,State Sales Offices,"-37.814107,144.96328",Catering,2897.00,Subcontract
Australia,South Wharf,"-37.824997,144.951999",Catering,2864.00,Subcontract
New Zealand,Avondale,"-36.894517,174.696524",Catering,2843.00,Subcontract
Australia,Claremont,"-31.981633,115.781288",Catering,2803.00,Subcontract
New Zealand,Dunedin,"-45.87876,170.502798",Catering,2794.00,Subcontract
India,Mumbai EC,"19.030029,72.861308",Catering,2788.00,Subcontract
Australia,Port Melbourne,"-37.836926,144.94455",Catering,2778.00,Subcontract
Australia,South Wharf,"-37.824997,144.951999",Catering,2767.00,Subcontract
New Zealand,Dunedin,"-45.87876,170.502798",M&E Equipment,2755.11,Subcontract
Singapore,Jurong,"1.364434,103.775263",Building Fabric,2704.00,Self Delivery
Australia,State Sales Offices,"-37.814107,144.96328",Building Fabric,2670.00,Self Delivery
New Zealand,Auckland DC,"-36.84846,174.763332",Catering,2666.00,Subcontract
Australia,State Sales Offices,"-37.814107,144.96328",Catering,2625.00,Subcontract
New Zealand,Auckland DC,"-36.84846,174.763332",Building Fabric,2617.00,Self Delivery
Australia,Port Melbourne,"-37.836926,144.94455",Building Fabric,2615.00,Self Delivery
Australia,Dandenong VDC,"-37.98746,145.214861",Catering,2612.00,Subcontract
New Zealand,Auckland DC,"-36.84846,174.763332",Catering,2609.00,Subcontract
Australia,Claremont,"-31.981633,115.781288",Grounds Maintenance,2603.37,Self Delivery
New Zealand,Avondale,"-36.894517,174.696524",Catering,2550.00,Subcontract
New Zealand,Dunedin,"-45.87876,170.502798",M&E Equipment,2533.12,Subcontract
Singapore,Jurong,"1.364434,103.775263",Catering,2470.00,Subcontract
Singapore,Keppel Bay Towers,"1.352083,103.819836",Catering,2465.00,Subcontract
Singapore,Keppel Bay Towers,"1.352083,103.819836",M&E Equipment,2372.85,Subcontract
New Zealand,Avondale,"-36.894517,174.696524",Catering,2371.00,Subcontract
Australia,State Sales Offices,"-37.814107,144.96328",M&E Equipment,2367.09,Subcontract
Australia,Claremont,"-31.981633,115.781288",Catering,2357.00,Subcontract
Australia,Ringwood,"-37.814262,145.227386",Cleaning,2194.07,Subcontract
Australia,South Wharf,"-37.824997,144.951999",Catering,2194.00,Subcontract
India,Mumbai EC,"19.030029,72.861308",Catering,2178.00,Subcontract
New Zealand,Auckland DC,"-36.84846,174.763332",Catering,2096.00,Subcontract
Thailand,Lad Krabang,"13.722049,100.784157",Catering,2075.00,Subcontract
Australia,South Wharf,"-37.824997,144.951999",Catering,2058.00,Subcontract
Australia,State Sales Offices,"-37.814107,144.96328",Catering,2047.00,Subcontract
Australia,Ringwood,"-37.814262,145.227386",Catering,2045.00,Subcontract
New Zealand,Avondale,"-36.894517,174.696524",Catering,2040.00,Subcontract
Australia,Scoresby,"-37.898567,145.230362",Catering,2037.00,Subcontract
Australia,Dandenong VDC,"-37.98746,145.214861",Catering,2034.00,Subcontract
Australia,Port Melbourne,"-37.836926,144.94455",Catering,2020.00,Subcontract
Australia,South Wharf,"-37.824997,144.951999",Building Fabric,2016.00,Self Delivery
India,Mumbai EC,"19.030029,72.861308",FM management & administration,25071.00,Self Delivery
New Zealand,Avondale,"-36.894517,174.696524","E, H, S & Q, compliance",10827.00,Self Delivery
India,Baddi,"30.957826,76.791356",Grounds Maintenance,27370.00,Self Delivery
New Zealand,Dunedin,"-45.87876,170.502798",Employee Convenience Services,9508.00,Self Delivery
Australia,South Wharf,"-37.824997,144.951999",Grounds Maintenance,10107.00,Self Delivery
India,Baddi,"30.957826,76.791356",Catering,1977.00,Subcontract
Australia,South Wharf,"-37.824997,144.951999",FM management & administration,11489.00,Self Delivery
Australia,Ringwood,"-37.814262,145.227386",Grounds Maintenance,29204.00,Self Delivery
Thailand,Lad Krabang,"13.722049,100.784157",FM management & administration,29204.00,Self Delivery
Australia,Dandenong VDC,"-37.98746,145.214861",Grounds Maintenance,25228.00,Self Delivery
Australia,Port Melbourne,"-37.836926,144.94455",Grounds Maintenance,29824.00,Self Delivery
